DestinationRegion,ProjectName,IndustryCode,IndustryDescription,Output,Employment,Sum of  WageAndSalaryEmployment,Sum of  ProprietorEmployment,Sum of  EmployeeCompensation,Sum of  ProprietorIncome,Sum of  TaxesOnProductionAndImports,Sum of  OtherPropertyIncome
Michigan (2023),DTE Gas Clean Energy_Michigan_51,472,Hospitals,"36,403,728.41",170.93,170.78,0.15,"17,025,635.84","14,672.19","423,263.68","2,708,038.40"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,473,Nursing and community care facilities,"4,811,052.58",50.39,48.32,2.07,"2,582,757.58","5,727.61","90,803.19","183,831.48"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,474,"Residential mental health, substance abuse, and other residential care facilities","1,772,950.66",21.43,20.46,0.97,"1,077,232.59","2,168.63","25,528.97","80,593.72"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,475,Individual and family services,"3,109,249.73",60.97,45.92,15.06,"2,063,019.73","283,128.40","-53,197.55","-128,206.65"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,476,Child day care services,"1,706,711.38",25.49,20.87,4.63,"808,601.85","95,380.73","-49,029.00","192,839.56"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,477,"Community food, housing, and other relief services, including rehabilitation services","2,077,887.40",21.04,15.85,5.19,"784,089.54","100,736.36","-39,266.18","72,307.67"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,478,Performing arts companies,"585,834.60",5.39,2.28,3.11,"102,583.05","44,636.99","27,477.46","94,423.47"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,479,Commercial Sports Except Racing,"1,130,681.46",19.42,1.67,17.75,"550,781.85","374,887.11","41,692.88","-164,230.86"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,480,Racing and Track Operation,"16,450.08",0.34,0.17,0.18,"6,981.74","4,218.91",277.87,"-4,718.17"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,481,"Independent artists, writers, and performers","506,108.61",2.62,0.76,1.85,"48,986.50","25,149.21","19,768.22","165,722.39"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,482,Promoters of performing arts and sports and agents for public figures,"1,501,581.50",9.93,3.37,6.56,"196,545.86","96,273.57","47,355.49","261,773.80"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,483,"Museums, historical sites, zoos, and parks","504,301.00",4.04,3.87,0.17,"191,980.31","-1,260.22","11,904.35","59,888.12"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,484,Amusement parks and arcades,"192,354.06",1.54,1.25,0.29,"34,772.84","7,788.67","61,542.45","44,778.12"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,485,Gambling industries (except casino hotels),"1,104,406.71",5.95,4.2,1.75,"220,756.51","52,923.10","136,501.76","292,451.70"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,486,Other amusement and recreation industries,"1,574,010.10",18.63,15.02,3.61,"523,812.03","108,467.79","235,385.56","178,247.11"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,487,Fitness and recreational sports centers,"756,518.50",12.05,10.11,1.94,"284,320.77","57,670.05","89,036.06","2,274.97"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,488,Bowling centers,"104,741.29",1.6,1.36,0.24,"37,699.07","7,065.74","11,597.40",-384.68
Michigan (2023),DTE Gas Clean Energy_Michigan_51,489,"Hotels and motels, including casino hotels","186,179.82",1.18,1.02,0.16,"50,469.44","7,121.58","35,456.64","42,175.19"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,490,Other accommodations,"346,842.02",2.56,2.33,0.24,"90,176.06","13,098.21","62,767.30","60,012.60"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,491,Full-service restaurants,"12,752,141.37",141.54,129.73,11.81,"3,986,260.12","178,980.29","651,513.89","1,613,006.08"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,492,Limited-service restaurants,"14,276,412.75",134.02,123,11.02,"3,408,440.61","205,156.82","886,808.13","1,649,884.25"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,493,All other food and drinking places,"5,456,281.80",68.46,62.64,5.82,"2,273,302.24","117,888.49","356,881.01","731,613.47"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,494,"Automotive repair and maintenance, except car washes","7,167,096.83",49.96,33.01,16.95,"2,343,697.85","809,637.07","846,594.97","690,485.52"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,495,Car washes,"860,512.71",7.78,6.03,1.75,"282,768.44","86,975.19","91,219.37","46,268.86"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,496,Electronic and precision equipment repair and maintenance,"2,184,472.55",13.19,9.47,3.72,"738,313.59","149,374.32","166,777.60","392,888.51"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,497,Commercial and industrial machinery and equipment repair and maintenance,"3,277,310.33",22.6,13.34,9.26,"1,349,648.95","475,080.87","205,989.18","32,308.60"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,498,Personal and household goods repair and maintenance,"2,368,808.40",11.51,8.25,3.26,"524,844.35","134,666.61","210,085.19","467,226.26"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,499,Personal care services,"1,929,895.51",48.78,15.36,33.42,"570,731.37","701,130.76","133,632.44","-290,184.42"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,500,Death care services,"393,383.09",7.94,2.02,5.92,"111,374.46","130,948.87","27,681.23","-24,930.63"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,501,Dry-cleaning and laundry services,"682,077.13",19.82,4.92,14.91,"269,942.41","320,208.82","76,827.12","-180,281.53"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,502,Other personal services,"2,465,792.97",32.96,10.49,22.47,"492,584.72","504,120.17","192,822.82","178,510.52"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,503,Religious organizations,"4,585,771.67",73.4,68.35,5.04,"4,654,281.96","70,363.01",0,"-1,467,241.98"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,504,"Grantmaking, giving, and social advocacy organizations","2,248,061.07",12.07,10.96,1.1,"875,006.25","14,092.92","68,100.78","457,095.47"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,505,Business and professional associations,"1,273,036.84",5.3,4.66,0.64,"501,115.12","8,421.85","55,165.16","273,952.40"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,506,Labor and civic organizations,"1,528,147.21",14.03,13.33,0.7,"574,720.40","9,099.41","53,652.63","199,168.51"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,507,Private households,"345,222.22",20.73,20.73,0,"345,222.22",0,0,0
Michigan (2023),DTE Gas Clean Energy_Michigan_51,508,Postal service,"2,076,708.39",17.77,17.77,0,"1,816,335.09",0,0,"84,737.62"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,510,Other federal government enterprises,"2,616.96",0.12,0.12,0,"14,548.45",0,"-96,460.97","22,458.28"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,514,Local government passenger transit,"252,897.04",4.14,4.14,0,"296,374.40",0,0,"-165,787.03"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,515,Local government electric utilities,"384,191.66",0.53,0.53,0,"72,789.83",0,0,"1,234.87"
Michigan (2023),DTE Gas Clean Energy_Michigan_51,516,Other local government enterprises,"4,751,864.80",11.06,11.06,0,"885,728.38",0,"-380,854.50","1,218,325.66"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,1,Oilseed farming,"5,623.87",0.02,0,0.01,210.15,818.69,227.51,"3,260.26"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,2,Grain farming,"104,556.61",0.37,0.05,0.31,"5,667.69","8,971.75","-6,424.08","19,900.44"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,3,Vegetable and melon farming,"124,060.59",0.9,0.51,0.39,"15,577.51","24,835.86","6,471.52","43,537.26"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,4,Fruit farming,"65,600.16",0.98,0.54,0.43,"12,529.27","31,370.72","3,630.49","14,138.00"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,5,Tree nut farming,76.28,0,0,0,26.65,60.25,12.67,-24.78
Michigan (2023),DTE Gas Clean Energy_Michigan_55,6,"Greenhouse, nursery, and floriculture production","126,542.79",0.83,0.65,0.18,"31,526.31","14,348.96","2,941.05","52,010.69"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,9,Sugarcane and sugar beet farming,"12,610.58",0.04,0.02,0.02,"2,340.95",818.54,-3.62,"4,013.60"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,10,All other crop farming,"5,820.46",0.14,0.01,0.13,"1,008.20",527.95,-4.53,"1,744.37"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","38,549.85",0.46,0.02,0.44,754.5,"11,168.40","1,864.03","4,354.78"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,12,Dairy cattle and milk production,"49,975.65",0.16,0.11,0.05,"2,787.31","5,310.00","1,576.38","8,298.15"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,13,Poultry and egg production,"66,364.05",0.07,0.03,0.04,"4,170.18",920.59,"2,254.09","9,431.61"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,14,"Animal production, except cattle and poultry and eggs","74,524.65",1.12,0.13,0.99,"9,817.43","25,271.36","3,555.53","34,452.18"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,15,"Forestry, forest products, and timber tract production","2,352.39",0.04,0.02,0.02,"1,332.42",118.25,348.77,155.39
Michigan (2023),DTE Gas Clean Energy_Michigan_55,16,Commercial logging,"194,533.00",3.91,2.06,1.85,"149,696.64","12,461.79","18,388.93","-2,346.12"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,17,Commercial fishing,"5,223.47",0.08,0.01,0.06,631.68,-334.49,903.97,"3,991.95"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,18,Commercial hunting and trapping,"9,998.32",0.09,0.03,0.06,"1,529.91",-72.73,"2,422.82","5,222.14"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,19,Support activities for agriculture and forestry,"29,441.18",0.75,0.45,0.3,"22,357.87","3,650.22","1,804.85",-15.71
Michigan (2023),DTE Gas Clean Energy_Michigan_55,20,Oil and gas extraction,"769,200.48",1.69,0.17,1.52,"18,531.66","30,488.78","22,494.77","-25,681.74"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,22,"Copper, nickel, lead, and zinc mining","25,206.07",0.02,0.02,0.01,"2,090.28",-29.01,"1,082.18","13,515.27"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,23,Iron ore mining,"4,920.83",0.01,0.01,0,889.92,-0.95,122.1,687.04
Michigan (2023),DTE Gas Clean Energy_Michigan_55,25,Other metal ore mining,"4,616.26",0,0,0,478.99,-7.41,141.57,"3,124.48"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,26,Stone mining and quarrying,"2,954,934.75",4.89,3.94,0.95,"413,185.16","-6,230.89","87,762.27","1,609,158.51"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,27,Sand and gravel mining,"898,771.07",2.46,2.05,0.42,"220,249.23","-3,104.69","32,912.47","303,303.20"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,28,"Other clay, ceramic, refractory minerals mining","4,935.43",0.02,0.01,0,"1,218.22",-12.25,117.27,446.7
Michigan (2023),DTE Gas Clean Energy_Michigan_55,29,Other nonmetallic mineral mining and quarrying,"16,640.24",0.04,0.03,0.01,"4,031.42",-53.7,593.68,"6,709.86"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,30,Drilling oil and gas wells,3.59,0,0,0,1.77,0.38,0.15,-0.32
Michigan (2023),DTE Gas Clean Energy_Michigan_55,31,Support activities for oil and gas operations,"1,089.09",0.01,0,0,360.9,73.26,53.92,224.08
Michigan (2023),DTE Gas Clean Energy_Michigan_55,32,Metal mining services,"2,120.21",0.01,0.01,0,841.44,42.25,53.27,178.52
Michigan (2023),DTE Gas Clean Energy_Michigan_55,33,Other nonmetallic minerals services,55.09,0,0,0,19.11,1.53,1.46,1.01
Michigan (2023),DTE Gas Clean Energy_Michigan_55,34,Electric power generation - Hydroelectric,"62,541.46",0.08,0.08,0,"15,625.73","1,166.22","7,932.51","8,506.61"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,35,Electric power generation - Fossil  fuel,"1,370,467.55",0.79,0.77,0.02,"155,896.78","7,842.52","142,040.24","386,689.76"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,36,Electric power generation - Nuclear,"1,138,274.88",1.09,1.05,0.04,"229,398.96","17,116.14","109,976.00","282,933.68"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,37,Electric power generation - Solar,"19,876.12",0.03,0.03,0,"5,123.99",175.55,"2,110.12","3,260.04"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,38,Electric power generation - Wind,"39,172.81",0.01,0.01,0,"2,972.03",181.9,"5,539.93","16,320.90"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,40,Electric power generation - Biomass,"33,854.41",0.03,0.03,0,"4,168.42",279.17,"3,783.65","5,399.88"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,41,Electric power generation - All other,"1,195.08",0.03,0.03,0,"5,477.04",246.09,354.23,"-8,186.65"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,42,Electric power transmission and distribution,"4,703,015.59",2.99,2.9,0.09,"593,467.09","32,311.24","274,002.68","1,149,459.56"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,43,Natural gas distribution,"477,704.29",0.71,0.69,0.02,"112,273.58","6,367.63","85,362.53","101,445.76"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,44,"Water, sewage and other systems","46,026.99",0.18,0.18,0,"18,794.52","1,057.97","4,311.72","3,278.41"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,55,Maintenance and repair construction of nonresidential structures,"411,367,658.16","1,998.84","1,283.18",715.66,"106,441,330.18","38,260,205.88","2,832,799.08","51,036,796.74"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,56,Maintenance and repair construction of residential structures,"736,410.00",4.99,3.34,1.65,"249,259.24","80,209.10","21,658.81","74,364.50"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,57,"Maintenance and repair construction of highways, streets, bridges, and tunnels","10,659.42",0.05,0.03,0.02,"2,766.54",994.77,74.72,"1,396.34"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,58,Dog and cat food manufacturing,"6,422.79",0.01,0.01,0,741.73,-0.91,29.04,664.9
Michigan (2023),DTE Gas Clean Energy_Michigan_55,59,Other animal food manufacturing,"57,230.32",0.03,0.03,0,"3,170.32",-4.51,324.65,"2,674.97"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,60,Flour milling,"51,240.56",0.04,0.04,0,"3,992.57",-5.56,212.84,"3,646.55"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,64,Soybean and other oilseed processing,"11,570.46",0,0,0,198.48,-0.28,134.42,500.21
Michigan (2023),DTE Gas Clean Energy_Michigan_55,65,Fats and oils refining and blending,"12,972.93",0.01,0.01,0,417.28,-0.51,55.83,555.5
Michigan (2023),DTE Gas Clean Energy_Michigan_55,66,Breakfast cereal manufacturing,"69,232.65",0.07,0.07,0.01,"7,385.73",-10.28,291.6,"7,058.48"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,67,Beet sugar manufacturing,"23,419.20",0.03,0.03,0,"2,918.21",-5.25,167.91,"2,810.05"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,68,Sugar cane mills and refining,146.51,0,0,0,7.01,0,0.99,14.34
Michigan (2023),DTE Gas Clean Energy_Michigan_55,69,Nonchocolate confectionery manufacturing,"8,933.98",0.02,0.02,0,"1,383.48",-1.15,29.88,226.53
Michigan (2023),DTE Gas Clean Energy_Michigan_55,70,Chocolate and confectionery manufacturing from cacao beans,"2,088.67",0,0,0,353.92,-0.04,10.06,206.59
Michigan (2023),DTE Gas Clean Energy_Michigan_55,71,Confectionery manufacturing from purchased chocolate,"6,455.88",0.02,0.02,0,745.06,-0.69,20.69,209.52
Michigan (2023),DTE Gas Clean Energy_Michigan_55,72,"Frozen fruits, juices and vegetables manufacturing","112,867.55",0.18,0.18,0.01,"13,380.71",-17.36,397.9,"11,432.69"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,73,Frozen specialties manufacturing,"48,413.75",0.12,0.11,0.01,"9,034.66",-11.55,123.77,"2,951.64"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,74,Canned fruits and vegetables manufacturing,"35,078.02",0.06,0.06,0,"4,379.49",-3.33,114.63,"2,510.93"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,75,Canned specialties,"23,062.43",0.03,0.03,0,"2,410.23",-2.62,55.29,"1,181.57"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,76,Dehydrated food products manufacturing,"1,421.22",0,0,0,182.56,-0.22,3.59,27.53
Michigan (2023),DTE Gas Clean Energy_Michigan_55,77,Cheese manufacturing,"25,191.18",0.02,0.02,0,"1,951.94",-2.8,101.19,"1,343.42"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,78,"Dry, condensed, and evaporated dairy product manufacturing","66,271.34",0.05,0.05,0.01,"5,985.24",-7.21,200.75,"9,408.78"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,79,Fluid milk manufacturing,"62,746.51",0.08,0.08,0,"6,626.65",-5.68,234.64,"2,938.37"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,80,Creamery butter manufacturing,"18,186.45",0.01,0.01,0,"1,036.27",-1.57,78.27,983.34
Michigan (2023),DTE Gas Clean Energy_Michigan_55,81,Ice cream and frozen dessert manufacturing,"26,922.31",0.06,0.06,0,"4,525.75",-3.7,98.77,"1,594.65"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,82,Frozen cakes and other pastries manufacturing,"4,365.56",0.02,0.02,0,760.04,38.19,150.46,286.81
Michigan (2023),DTE Gas Clean Energy_Michigan_55,83,Poultry processing,"40,786.59",0.11,0.1,0.01,"7,895.77",-8.15,139.35,"2,297.53"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,84,"Animal, except poultry, slaughtering","63,441.52",0.09,0.08,0.01,"6,123.68",5.88,275.32,"2,021.73"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,85,Meat processed from carcasses,"186,866.44",0.33,0.31,0.02,"23,111.31",-12.9,654.28,"3,804.81"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,86,Rendering and meat byproduct processing,439.39,0,0,0,68.99,0.41,1.39,7.44
Michigan (2023),DTE Gas Clean Energy_Michigan_55,87,Seafood product preparation and packaging,"6,967.63",0.01,0.01,0,"1,052.27",-1.24,26.47,511.16
Michigan (2023),DTE Gas Clean Energy_Michigan_55,88,"Bread and bakery product, except frozen, manufacturing","171,722.75",0.94,0.89,0.05,"45,416.37",951.14,"4,181.59","15,248.19"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,89,Cookie and cracker manufacturing,"24,190.01",0.06,0.06,0,"5,480.33",-3.13,141.4,"2,147.01"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,90,"Dry pasta, mixes, and dough manufacturing","32,667.93",0.04,0.04,0,"5,306.11",-4.44,192.75,"5,849.43"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,91,Tortilla manufacturing,"8,876.38",0.03,0.03,0,"1,791.74",-2.59,39.81,19.32
Michigan (2023),DTE Gas Clean Energy_Michigan_55,92,Roasted nuts and peanut butter manufacturing,"37,621.16",0.04,0.04,0,"3,332.63",-2.37,145.79,"4,673.80"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,93,Other snack food manufacturing,"58,595.33",0.08,0.08,0,"6,495.40",-7.09,373.78,"7,603.44"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,94,Coffee and tea manufacturing,"20,440.85",0.03,0.03,0,"1,662.97",-1.93,82.34,"1,245.76"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,95,Flavoring syrup and concentrate manufacturing,"2,116.69",0,0,0,109.52,-0.07,7.34,412.28
Michigan (2023),DTE Gas Clean Energy_Michigan_55,96,"Mayonnaise, dressing, and sauce manufacturing","3,691.71",0.01,0.01,0,386.53,-0.46,13.21,240.3
Michigan (2023),DTE Gas Clean Energy_Michigan_55,97,Spice and extract manufacturing,"17,150.07",0.02,0.02,0,"2,828.16",-1.95,69.1,"2,140.58"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,98,All other food manufacturing,"28,671.40",0.06,0.06,0,"4,552.08",-4.34,86.94,"1,353.37"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,99,Bottled and canned soft drinks and water,"374,129.05",0.54,0.51,0.03,"48,315.88",842.84,"1,787.07","36,890.28"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,100,Manufactured ice,"9,783.43",0.05,0.05,0,"2,884.93",38.82,45.03,-749.21
Michigan (2023),DTE Gas Clean Energy_Michigan_55,101,Breweries,"106,521.89",0.33,0.32,0.01,"16,703.76",173.27,"4,576.18","10,768.87"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,102,Wineries,"50,948.04",0.15,0.15,0,"6,265.32",73.51,881.71,"5,170.60"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,103,Distilleries,"5,216.68",0.01,0.01,0,374.42,5.69,865.31,423.22
Michigan (2023),DTE Gas Clean Energy_Michigan_55,104,Tobacco manufacturing,"17,400.69",0.01,0.01,0,442.95,3.4,"2,423.65","3,405.42"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,105,"Fiber, yarn, and thread mills",121.37,0,0,0,12.36,0.12,2.46,0.83
Michigan (2023),DTE Gas Clean Energy_Michigan_55,106,Broadwoven fabric mills,275.5,0,0,0,66.72,1.32,3.96,5.72
Michigan (2023),DTE Gas Clean Energy_Michigan_55,107,Narrow fabric mills and schiffli machine embroidery,21.68,0,0,0,5.89,0.21,0.17,-2.39
Michigan (2023),DTE Gas Clean Energy_Michigan_55,108,Nonwoven fabric mills,371.15,0,0,0,60.2,0.99,6.97,15.06
Michigan (2023),DTE Gas Clean Energy_Michigan_55,109,Knit fabric mills,19.85,0,0,0,4,0.12,0.27,0.17
Michigan (2023),DTE Gas Clean Energy_Michigan_55,110,Textile and fabric finishing mills,519.68,0,0,0,90.16,0.76,6.49,10.71
Michigan (2023),DTE Gas Clean Energy_Michigan_55,111,Fabric coating mills,328.28,0,0,0,57.39,0.7,4.26,8.6
Michigan (2023),DTE Gas Clean Energy_Michigan_55,112,Carpet and rug mills,"15,115.03",0.04,0.03,0.01,"2,648.34",-1.62,275.09,449.06
Michigan (2023),DTE Gas Clean Energy_Michigan_55,113,Curtain and linen mills,342.88,0,0,0,81.87,-0.02,4.38,10.08
Michigan (2023),DTE Gas Clean Energy_Michigan_55,114,Textile bag and canvas mills,"15,302.32",0.06,0.06,0,"4,614.42",-1.7,112.14,619.41
Michigan (2023),DTE Gas Clean Energy_Michigan_55,115,"Rope, cordage, twine, tire cord and tire fabric mills","1,216.23",0,0,0,336.73,-0.01,16.89,240.29
Michigan (2023),DTE Gas Clean Energy_Michigan_55,116,Other textile product mills,"9,481.46",0.05,0.05,0,"2,999.87",-1.12,97.11,454.94
Michigan (2023),DTE Gas Clean Energy_Michigan_55,117,Apparel knitting mills,39.92,0,0,0,13.42,-0.83,0.73,8.04
Michigan (2023),DTE Gas Clean Energy_Michigan_55,118,Cut and sew apparel contractors,"1,170.71",0.01,0.01,0,594.6,-98.87,11.65,-17.52
Michigan (2023),DTE Gas Clean Energy_Michigan_55,119,Cut and sew apparel manufacturing (except contractors),"7,136.86",0.03,0.01,0.02,"2,462.37",-342.73,92.89,"1,543.21"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,120,Apparel accessories and other apparel manufacturing,"1,047.38",0.01,0.01,0,304.14,-32.77,15.89,132.39
Michigan (2023),DTE Gas Clean Energy_Michigan_55,121,Leather and hide tanning and finishing,"1,184.40",0,0,0,172.05,0.91,33.17,295.75
Michigan (2023),DTE Gas Clean Energy_Michigan_55,122,Footwear manufacturing,"1,044.01",0.01,0,0,327.19,1.21,13.36,4.35
Michigan (2023),DTE Gas Clean Energy_Michigan_55,123,Other leather and allied product manufacturing,326.3,0,0,0,100.77,0.5,4.81,6.74
Michigan (2023),DTE Gas Clean Energy_Michigan_55,124,Sawmills,"2,518,145.02",4.9,4.12,0.78,"314,237.06","55,733.19","14,000.92","226,712.55"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,125,Wood preservation,"405,109.65",0.46,0.39,0.07,"28,206.20","5,715.64","2,508.65","58,505.55"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,126,Veneer and plywood manufacturing,"424,458.30",1.09,0.89,0.2,"65,808.33","11,299.89","2,754.63","63,011.83"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,127,Engineered wood member and truss manufacturing,"247,963.26",0.57,0.48,0.09,"42,632.03","8,759.55",931.62,"24,386.42"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,128,Reconstituted wood product manufacturing,"531,913.92",0.55,0.45,0.1,"43,393.51","8,571.52","2,781.18","101,475.57"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,129,Wood windows and door manufacturing,"652,697.09",2.01,1.69,0.33,"138,121.72","27,636.87","3,156.44","65,500.84"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,130,"Cut stock, resawing lumber, and planing","307,182.53",0.76,0.65,0.11,"44,780.24","6,358.24","1,593.58","43,400.17"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,131,"Other millwork, including flooring","675,491.97",1.88,1.65,0.24,"132,301.59","21,865.77","3,386.23","104,884.73"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,132,Wood container and pallet manufacturing,"51,430.90",0.18,0.16,0.02,"12,688.80","2,008.80",205.86,"4,657.56"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,133,Manufactured home (mobile home) manufacturing,"4,708.54",0.01,0.01,0,"1,465.40",224.72,15.26,267.41
Michigan (2023),DTE Gas Clean Energy_Michigan_55,134,Prefabricated wood building manufacturing,"857,609.16",2.17,1.91,0.26,"149,263.43","21,965.71","3,616.86","123,438.52"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,135,All other miscellaneous wood product manufacturing,"79,940.29",0.26,0.23,0.03,"16,890.08","3,116.80",377.64,"9,041.63"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,136,Pulp mills,933.46,0,0,0,150.81,1.88,9.9,44.26
Michigan (2023),DTE Gas Clean Energy_Michigan_55,137,Paper mills,"106,862.01",0.13,0.12,0,"15,377.08",106.04,995.96,"10,087.89"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,138,Paperboard mills,"24,077.22",0.03,0.03,0,"3,113.84",29.08,262.93,"1,883.14"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,139,Paperboard container manufacturing,"531,275.71",0.92,0.91,0,"82,436.96",552.18,"5,463.46","23,958.41"
Michigan (2023),DTE Gas Clean Energy_Michigan_55,140,Paper bag and coated and treated paper manufacturing,"7,094.94",0.01,0.01,0,"1,467.33",8.65,62.98,511.18
Michigan (2023),DTE Gas Clean Energy_Michigan_55,141,Stationery product manufacturing,"4,019.13",0.01,0.01,0,640.61,4.05,38.21,73.63
Michigan (2023),DTE Gas Clean Energy_Michigan_55,142,Sanitary paper product manufacturing,"1,078.48",0,0,0,82.83,0,12.66,70.69
Michigan (2023),DTE Gas Clean Energy_Michigan_55,143,All other converted paper product manufacturing,"7,891.07",0.02,0.02,0,"1,663.93",9.14,72.1,750.76
